,authors,description,genre,highlights,images,name
0,"Satish Chandra,","
History Of Medieval India is the second book in a series written to provide a comprehensive overview of the history of the Indian subcontinent.

Summary Of The Book

History Of Medieval India covers the historical landscape of the Indian subcontinent over a period of a thousand years, between the eighth and eighteenth century AD. The book starts off with a bird’s eye view of the state of the world during the medieval period, before dwelling on the rise and fall of empires in the Indian subcontinent.

	Writing about the history of India is a daunting task, but the author has attempted to carry out the task with the eye of an inquirer and the pen of a scholar. The book has been written keeping in mind readers who may have some basic knowledge of the political situation in medieval India and would like to pursue the knowledge further. The book elucidates the beginnings, growths and deaths of many a dynasty, including but not limited to the Cholas, Rajputs, Vijayanagara kings, Bahmanids and the Marathas.

	History Of Medieval India’s primary merit lies in the fact that it departs from the well worn path of writing about dynastic history alone and looks at the social, political, cultural and economic developments that the period gave rise to. Some of these developments still have significance in contemporary relevance, such as the caste system which seems to have been born around this period.

	The author has done a tremendous job in condensing such a large amount of subject matter in such a small space.

About Satish Chandra

	Satish Chandra is among India’s most well known historians.

	He has composed many works and some of them include, Essays on Medieval Indian History, Historiography, Religion and State in Medieval India, State, Pluralism and the Indian Historical Tradition, and The Indian Ocean and its Islands: Strategic, Scientific and Historical Perspectives.

	Satish Chandra was a reader in history in the Aligarh Muslim University before joining the Jawaharlal Nehru University as a professor and co-founder. He was the first dean of the School of Social Sciences in JNU. He is a Marxist Indian historian. Satish Chandra is best known for his works on Indian medieval history.
",Educational,"Language: English,Binding: Paperback,Publisher: Orient Blackswan,ISBN: 9788125032267, 8125032266,Edition: 01, 2009,Pages: 415,","rukminim1.flixcart.com/image/128/128/book/2/6/7/history-of-medieval-india-original-imada4s99rh3tn3v.jpeg?q=70
rukminim1.flixcart.com/image/128/128/book/2/6/7/history-of-medieval-india-original-imaeghzm8uhdh3b4.jpeg?q=70
rukminim1.flixcart.com/image/128/128/book/2/6/7/history-of-medieval-india-original-imaeghzj65nzyggm.jpeg?q=70
rukminim1.flixcart.com/image/128/128/book/2/6/7/history-of-medieval-india-original-imaeghzrsfbtfftv.jpeg?q=70
","History Of Medieval India 01 Edition(English, Paperback, Satish Chandra)"
1,"Bipan Chandra,","
Published in the year 2009, History Of Modern India is a book that revolves around the history of British India, throwing light on the nationalist movement and colonialism.

Summary Of The Book

History Of Modern India is a book that is written by renowned historian, Bipan Chandra. The contents of this book are a result of Chandra’s research on the subjects of colonialism and nationalism in the country. Apart from his research, Chandra has also drawn from the works of renowned historians during that time in history.

	In total, there are 14 chapters in this book that cover different periods in Indian history. Some of the chapters in this book include Indian States And Society In The Eighteenth Century, Religious And Social Reform After 1858, The Struggle For Sawaraj, The Nationalist Movement, European Penetration And The British Conquest, Social And Cultural Awakening In The First Half Of The Nineteenth Century, The Decline Of The Mughal Empire, and The Revolt Of 1857. Some other chapters include The Nationalist Movement: 1858-1905, Administrative Changes After 1858, and Administrative Organisation And Society And Cultural Policy.

	This book doesn’t focus on the political factors during that period, but deals with the economic, religious, and social history of India. Through the course of this book, Chandra provides insight on several events in modern Indian history such as the establishment of the British East India Company, which led to a tightened grip of the British over India. Chandra also explains that the major reason behind the colonial rule was to exploit India by means of investment and trade. The chapters in this book are arranged in chronological order, starting from the British Rule to the independence of the country. This piece of literature provides its readers with loads of information on the nationalist movement, throwing light on the contributions made by several different individuals. This book is a must-have for history students as well as for those who want to gain insight into the history of modern India.

	This book was published by Orient Blackswan in 2009.

About Bipan Chandra

	Bipan Chandra is a renowned author and historian from India. Apart from this book, Chandra has written a number of other books, and they include Essays on Colonialism, The Epic Struggle, Communalism in Modern India, The Rise And Growth Of Economic Nationalism In India: Economic Policies Of Indian National Leadership, Indian National Movement: The Long Term Dynamics, and In The Name Of Democracy: The JP Movement And The Emergency.

	Chandra was born in Himachal Pradesh, and he completed his schooling from Forman Christian College in Lahore. He completed his degree from Stanford University, USA, and went on to earn a doctorate from the University of Delhi. For several years, Chandra served as a professor at Hindu College, Delhi. Later, he taught history at Jawaharlal Nehru University. In the year 1985, he was selected to be the General President of the Indian History Congress. He has also served as the Chairman of the National Book Trust, New Delhi. Chandra has also been a part of the University Grants Commission, New Delhi.
",Educational,"Language: English,Binding: Paperback,Publisher: Orient Blackswan,ISBN: 9788125036845, 8125036849,Edition: 1stEdition, 2009,Pages: 351,",https://rukminim1.flixcart.com/image/832/832/book/8/4/5/history-of-modern-india-original-imads8nsnfkfn4pr.jpeg?q=70,"History of Modern India 1st Edition(English, Paperback, Bipan Chandra)"
2,"R. S. Aggarwal,","
Quantitative Aptitude For Competitive Examinations comprehensively covers topics for the Quantitative Aptitude and Data Interpretation section of competitive exams like management entrance exams, job recruitment exams etc.

Summary Of The Book

	Competitive exams, whether they are conducted to select candidates for jobs, or for admission to post graduate and doctorate courses, test the numerical aptitude of the person taking the exam. These exams test a candidate's knowledge and skill in basic arithmetic, algebra, geometry etc. They also test the Quantitative Aptitude skills of the candidate. This book is divided into two sections. The first part covers arithmetical ability. The second part covers Data Interpretation. The first part begins by taking a look at Numbers, Average, Percentage, Decimal Fractions, H.C.F. and L.C.M., Square Roots and Cube Roots.

Quantitative Aptitude For Competitive Examinations also covers Problems on Numbers and Ages, Simplification, Alligations, and Logarithms. Other topics discussed include Surds and Indices, Pipes and Cistern, Chain Rule, Boats and Streams, Simple and Compound Interests, Time and Work, Partnership, Problems on Trains, and Volume and Surface Area. This text also goes into Stocks and Shares, True Discount and Banker's Discount, Games of Skill, Races, Permutations and Combination, Series, Odd Man Out, Clocks, Heights and Distances, and Calendar. The Data Interpretation part covers Tabulation and various kinds of graphs like Bar, Pie and Line Graphs.

Quantitative Aptitude For Competitive Examinations covers every aspect of the numerical ability section of many competitive tests. Numerous examples have been used throughout the book to illustrate the concepts and problem solving techniques. This book gives the students or candidates a good idea about the kind of questions asked in these exams.

About R. S. Aggarwal

	R. S. Aggarwal writes books for competitive exams. Some of the other books written by this author are Senior Secondary School Mathematics for Class-12, Mathematics for Class-8 (Paperback), Mathematics for MBA Entrance Examinations (Fully Solved), A Modern Approach To Logical Reasoning, and A Modern Approach To Verbal & Non-Verbal Reasoning.

	R. S. Aggarwal has written numerous books for students in school and for competitive exams. These book are known for their simple and accessible style. He studied at the Kirori Mal College, Delhi. After finishing his Master’s degree, he joined the Faculty of NAS College in Meerut. After completing his Doctorate from Delhi University, he became a Reader at NAS College. He opted for voluntary retirement in 2003.
",Educational,"Language: English,Binding: Paperback,Publisher: S. Chand Publishing,ISBN: 9788121924986, 8121924987,Edition: 2015,Pages: 726,",https://rukminim1.flixcart.com/image/832/832/book/9/8/6/quantitative-aptitude-for-competitive-examinations-original-imaeqydksduyvryr.jpeg?q=70,"Quantitative Aptitude For Competitive Examinations(English, Paperback, R. S. Aggarwal)"
3,"Herbert Schildt,","
In C: The Complete Reference, Herbert Schildt emphasises the fundamentals of the C programming language. He keeps the readers up-to-date with the latest information on the subject.

Summary Of The Book

	In C: The Complete Reference, readers will get a general overview of C. Schildt also briefly touches upon compilation of C, the distinction between C and C++, and points of differentiation between compilers and interpreters. The author also provides examples of how C is used, particularly sample codes and topics such as formal, local, and global variables. By presenting an overview of arrays, Schildt helps readers understand one of the most difficult areas to comprehend in the C programming language, pointers.

C: The Complete Reference is an excellent aid for both amateurs and professionals in the field of programming languages. Readers can expect to find an excellent coverage of topics such as localization functions, algorithms, and AI-based problem solving. They will also find various examples and sample applications that will help them understand many of the concepts easily.

	In this updated edition of the book, Schildt builds upon the previous edition by including a detailed coverage of C99 and the ANSI/ISO standards for C. He also includes the source code for using the C interpreter in real world applications.

	In this handy reference guide, Schildt presents his material in a clear and concise manner, interspersing discussions with examples and snippets of code, which keeps the readers engaged.

C: The Complete Reference was published in 2000. It has received positive reviews for its lucid content and wealth of practical information.

About Herbert Schildt

	Herbert Schildt is a bestselling American author, computer scientist, Windows programmer, and musician.

	He is considered an authority figure on the C programming language and has written over twenty-seven books on the subject. Some of his books are C: The Complete Reference and Born To Code In C. Schildt’s books have sold over three million copies and have been translated into several languages.

	Schildt graduated from the University of Illinois at Urbana Champaign. In addition to being a programmer and author, he is a multi-keyboardist for the rock band Starcastle.
",Educational,"Language: English,Binding: Paperback,Publisher: Mcgraw Hill Education,Genre: Academic and Professional,ISBN: 9780070411838, 0070411832,Edition: 4th Edition, 2000,Pages: 832,","rukminim1.flixcart.com/image/128/128/book/8/3/8/c-the-complete-reference-original-imaej6qzhmxygcgc.jpeg?q=70
rukminim1.flixcart.com/image/128/128/book/8/3/8/c-the-complete-reference-original-imaejabhmmx7sdkw.jpeg?q=70
rukminim1.flixcart.com/image/128/128/book/8/3/8/c-the-complete-reference-original-imaej6yg5yr9zgze.jpeg?q=70
","C: The Complete Reference 4th  Edition(English, Paperback, Herbert Schildt)"
4,"H C Verma,","
H C Verma’s Concepts Of Physics is an all-inclusive book, which serves to detail out the ABC of physics in an intricate manner making it an ideal book for not only the higher secondary students, but also for those who are preparing for their competitive examinations.

Summary Of The Book

	Physics as a subject is vast and to have all the concepts of Physics compiled in one book is indeed a boon to all students. The book has been tailored to meet the needs 10 + 2 or higher secondary students and for the students who are appearing for a competitive examination. It has everything a student would possibly need for their success in exams. The book comes supplemented with a large number of solved and unsolved problems. Numerical exercises inundate the book for a better understanding of the subject.

	The book starts with an Introduction to Physics and goes on to elucidate the concept of Physics and Mathematics in the second chapter. In the third chapter the author talks about Rest and Motion: Kinematics. In the fourth chapter he moves on to discuss the concept of Forces. Newton’s Laws of Motion is elaborated in the fifth chapter and the theory of Friction is expanded in the sixth chapter. The seventh and eighth chapters feature discussion on Circular Motion and Work and Energy while the focus of the tenth chapter is on Rotational Mechanics.

	The details of Gravitation, Simple Harmonic Motion and Fluid Mechanics are developed in the eleventh, twelfth and thirteenth chapters. The fourteenth and fifteenth chapters explain Some Mechanical Properties of Matter and Wave Motion and Waves on a String. The sixteenth and seventeenth chapters focus on Sound Waves and Light Waves while the eighteenth chapter stresses on the Geometrical Optics. The nineteenth chapter elaborates on Optical Instruments and Dispersion and Spectra, Speed of Light and Photometry is discussed in the twentieth, twenty-first and twenty-second chapter.  

	The book also consists of two appendices. This edition was published in 2011.

About H C Verma

	Harish Chandra Verma is a Nuclear Experimental Physicist and author. H C Verma wrote other books like Industrial Families in India, Foundation Science: Physics For Class 9, Dominion Status vs Complete Independence etc.

	H C Verma got his Doctoral degree from the Indian Institute of Technology Kanpur. He went on to work as a lecturer and reader at the Patna University. As a physicist, his chief areas of interest are in Materials Applications, Condensed Matter and also on Earth Science related issues like extinction boundaries and meteorites. At present he is working on a book on Electromechanics.
",Educational,"Language: English,Binding: Paperback,Publisher: BHARATI BHAWAN PUB.& DIS-NEW DELHI,ISBN: 9788177091878, 8177091875,Edition: 1st Edition,Pages: 462,",https://rukminim1.flixcart.com/image/832/832/book/8/7/8/concepts-of-physics-volume-1-original-imaepgnypwnzjusc.jpeg?q=70,"Concepts of Physics (Volume - 1) 1st  Edition(English, Paperback, H C Verma)"
5,"R. S. SHARMA,","
	India’s Ancient Past deals with a comprehensive historical account of early India. R.S Sharma guides the readers through the formation and evolution of Indian civilizations over time.

Summary Of The Book

	The term history is generally associated with mundane and uninteresting recording of facts. Fortunately, R.S Sharma provides a radically vivid and captivating narrative through his work, India’s Ancient Past.

	This book deals specifically with the origin of various empires and religious cultures in the growing periods of India. It also charts the beginnings of different geographical, linguistic, and ecological phenomenon.

	Sharma also gives information regarding the cultures dominating in the Neolithic, Vedic periods and during the Harappan Civilization. The book provides insights about the rise of religions such as Buddhism, Jainism, and others along with the development of territorial states.

	Breaking away from the traditional factual recording seen in history, India’s Ancient Past provides an easy-to-comprehend reading structure as it deals with several topics such as urbanization, Varna system, commerce, science, and much more.

	Sharma also assesses the transition periods from Ancient to Medieval and the changes that occurred as a result.

About R. S. Sharma

	Professor Ram Sharan Sharma was born on 26th November, 1919. He was a noted historian dealing with Ancient and Medieval India. He had also been associated with several academic institutions such as Delhi University, School of Oriental and African Studies, University of London and the University of Toronto. In 1975, he was the President of Indian History Congress.

	He is known for works such as Aspects of Political Ideas and Institutions in Ancient India published in 2005, Looking for the Aryans published in 1995 and Indian Feudalism published in 2005.

	When it comes to Professor Sharma’s writing style, he has been known for his literary and epigraphic works where he demolishes several myths that deal with imperialism and colonialism in history. He has also banished the notions of cultural chauvinists and provided counter studies dealing the scientific evolution of Indian society.

	He was known for his humility and scholarly fervor and constantly strove to provide new dimensions within Indian history. Sharma is also the founding Chairman of the Indian Council of Historical Research. He died on 21st August, 2011 and on his death a memorial function was held by the Indian Council of Historical Research wherein the famed Professor Bipan Chandra called Sharma the greatest historian of India.
",Educational,"Language: English,Binding: Paperback,Publisher: Oxford Univ Pr,ISBN: 9780195687859, 019568785X,Edition: 2011,Pages: 387,",https://rukminim1.flixcart.com/image/832/832/j2c6du80/book/8/5/9/india-s-ancient-past-original-imaetppytww2rn4j.jpeg?q=70,"India's Ancient Past(English, Paperback, R. S. SHARMA)"
6,"NORMAN LEWIS,","
Word Power Made Easy intends to help improve the readers’ all-round language skills.

Summary Of The Book

	This book, Word Power Made Easy, uses real life situations to demonstrate the power of words. The book begins by showing the reader how to assess their current vocabulary and how to start building word skills. It is divided into three main sections.

Word Power Made Easy starts by showing how to start building word skills, and then explains how to acquire better word skills quickly and learn at a faster pace. Then, the book shows how one can become proficient in building vocabulary, and how to keep learning new words and ways to use them.

	This book uses interesting themes to show how to use words effectively. It contains chapters like insulting or flattering enemies and friends, talking about various professions, successfully discussing science and scientists, describing actions effectively and so on. Word Power Made Easy takes a root of the word based approach to vocabulary building. It traces the etymology of the words being discussed. Once the origin of the word is explained, a lot of similar words sharing the same origin are introduced. This technique is useful in remembering a lot of words, as they are related by a common source which serves as a mnemonic.

	The book also contains an interesting section on esoteric phobias. It contains pronunciation keys, a test of grammar skills, and a section discussing how grammar changed over the years. It provides tips on proper usage, how to adapt to changing usage, and shows how to acquire the skill of natural speech without any affectations. It contains a list of some words that have recently been added to the language and shows how to build proper spelling skills.

Word Power Made Easy is an easy, practical guide to building a good vocabulary, learning about proper usage, pronunciation, and spelling. The book was first published in 1949.

About Norman Lewis

	Norman Lewis was an American grammarian and author. Some other books by Lewis are How to Read Better And Faster, Speak Better, Write Better, Instant Word Power, Dictionary of Correct Spelling, and Dictionary of Pronunciation. All his books were on building language skills. Norman Lewis was born in New York in 1912. Orphaned at an early age, he lived with his sister’s family. He earned his master’s degree from Columbia University and began teaching English language and grammar. 

	He has taught at various institutions like New York University, Rio Hondo College, and headed the institution’s communication department for more than ten years. His first book was 30 Days To A More Powerful Vocabulary. After the success of that book, Lewis began writing a lot of books on grammar and vocabulary which were highly popular and many of them have seen several reprints. His book Roget's New Pocket Thesaurus In Dictionary Form sold over 5 million books. He died in 2006 at the age of 93.
",Educational,"Language: English,Binding: Paperback,Publisher: Goyal Publisher,ISBN: 9788183071000, 8183071007,Edition: 2014,Pages: 740,",https://rukminim1.flixcart.com/image/832/832/book/0/0/0/word-power-made-easy-new-revised-expanded-edition-original-imaedcqmr8jvyyfg.jpeg?q=70,"Word Power Made Easy New Revised & Expanded Edition(English, Paperback, NORMAN LEWIS)"
7,"R S KHURMI,J K GUPTA,","
	For the students of U.P.S.C. (Engg services); IAS (Engg. group); B.Sc Engg; Diploma and other competitive courses.
	More than one thousand Objective Type Questions from various examining bodies have been added. The solutions to Important Objective type Questions have been added at the end of this treatise. It includes Multiple Choice questions, true and false questions, fill in the blank and matching type questions.
",Educational,"Language: English,Binding: Paperback,Publisher: S.Chand Publishing,ISBN: 9788121906289, 8121906288,Edition: 1984,Pages: 853,",https://rukminim1.flixcart.com/image/832/832/book/2/8/9/mechanical-engineering-conventional-and-objective-type-original-imaddqmfrkfezhen.jpeg?q=70,"Mechanical Engineering(English, Paperback, R S KHURMI, J K GUPTA)"
8,"Siddharth Mittal,","The revised edition of IAS Mains General Studies Chapterwise Solved Papers has been designed to help aspirants get an insight into the Civil Services (Mains) Examination. The book dwells at the overall structure of the Civil Services (Mains) Examination by providing detailed solutions of the last 20 years’ General Studies Papers. Everything under the sun is General Studies and Arihant has developed this book to meet the demands of General Studies Paper.The present revised edition of IAS Mains General Studies contains Chapterwise last 20 years’ (1997-2016) Solved Papers to help aspirants in smart and thorough preparation as previous years’ papers are the only authentic source of information about the nature of the examination and the types of questions asked in previous years’ examinations. The book has been divided into four papers as per the latest examination pattern, where each paper has been segregated in topics as per the latest syllabus of the Civil Services (Mains) Examination 2017. Special emphasis has been given to the questions asked in last four years’ (2016-2013) according to the changing pattern of the examination. Also, all the old questions from 1997-2012 have been updated with latest data and findings.As the book contains ample number of previous years’ papers with detailed and comprehensive solutions, it for sure will act as an overall best success mantra for cracking civil services (Mains) examination.",Educational,"Language: English,Binding: Paperback,Publisher: Arihant Publications,Genre: Entrance Exams Preparation,ISBN: 9789311127095, 9311127094,Edition: 2017,Pages: 584,",https://rukminim1.flixcart.com/image/832/832/j3er9u80/book/0/9/5/ias-mains-chapterwise-solved-papers-general-studies-original-imaeujrkak8xmrt8.jpeg?q=70,"IAS Mains Chapterwise Solved Papers General Studies(English, Paperback, Siddharth Mittal)"
9,"S. P. Bakshi,","
Objective General English (English) 2nd Edition is designed to help any candidate aspiring to crack a competitive exam. The book prepares a candidate with his skills in English which is a very important part in all competitive examination. The book consists of four parts and provides the learner with a competency in all the important aspects of English like tenses, modals, clauses, articles, parts of speech and everything else that a candidate needs to know.

About Arihant Publishers

	Arihant Publishers began with publishing books for the IIT JEE, the entrance examination for engineering in India. Today, it publishes books for entrance examinations, competitive examinations and recruitment examinations in India. Arihant Publishers is known and trusted for its guides for various examinations, some of which include IAS, CDS, PCS, MAT, GATE/PSU/IES and Bank PO. Arihant has been publishing books for over a decade and has recently ventured into the field of e-learning. Some of its other books include Verbal Reasoning by B. S. Sijwali and Indu Sijwali, A New Approach to Reasoning, Verbal and Non-Verbal by B.S. Sijwali and Indu Sijwali and Chapterwise and Topicwise Physics Previous Years’ Engineering Entrances (Questions with Solutions).
",Educational,"Language: English,Binding: Paperback,Publisher: Arihant,ISBN: 9789351768449, 9351768449,Edition: Single,Pages: 755,",https://rukminim1.flixcart.com/image/832/832/book/4/4/9/objective-general-english-original-imae2uudzg2nvtax.jpeg?q=70,"Objective General English Single Edition(English, Paperback, S. P. Bakshi)"
