index,authors,description,genre,highlights,images,name
0,"Barks, Coleman,","
Mesmerise yourself by poetry and spirituality with Rumi’s poems translated by Coleman Barks. The Essential Rumi is a collection of poems which keep you pondering about the words and expressions used by the Sufi poet.

Summary of the Book

	A compilation of Rumi’s 81 new poems which were never published until now, will leave you feeling ecstatic and spellbound. With a new introduction and new set of poems, the Essential Rumi is sure to occupy your imagination for quite a while.

About Rumi

	Rumi was a Sufi poet. He used to write poems and quotes in Persian which have been translated in multiple languages. He is considered as the most popular poet in America.
",Philosophy,"Language: English,Binding: Paperback,Publisher: HarperCollins Publisher,Genre: Religion & Spirituality,ISBN: 9780062312747, 006231274X,Edition: 1, 2013,Pages: 416,",https://rukminim1.flixcart.com/image/832/832/book/7/4/7/the-essential-rumi-original-imadmnzuavqtggvm.jpeg?q=70,"ESSENTIAL RUMI(English, Paperback, Barks, Coleman)"
1,"Eckhart Tolle,","
A New Earth: Create A Better Life focuses on helping individuals do their bit to enrich and spiritually strengthen humanity, while simultaneously seeking health and happiness in their own lives.

Summary Of The Book

	This book serves as a follow-up book to the author’s bestselling 1999 book, The Power Of Now, which promoted the idea that in order to achieve lasting happiness, human beings must learn to dissociate their thoughts from their identities. A New Earth: Create A Better Life builds extensively upon the same primary theme, exploring a different perspective this time around.

	The first book had an introspective quality and focused on the spiritual needs of the individual. On the other hand, this book turns the spotlight outwards, choosing to highlight the ways in which an individual’s spiritual evolution can be instrumental in shaping humanity’s collective spiritual consciousness.

	Divided into ten chapters, the book begins with a chapter on the awakening of human consciousness. The next three chapters focus on the concept of ego, exploring how attachment towards one’s thoughts, memories, and possessions can give rise to an illusory and harmful sense of self.

	In the subsequent chapters, the author discusses concepts such as recurring emotional pain, the space of consciousness, and inner and outer purpose. The final chapter presents the three elements that the author considers to be collectively representative of an awakened consciousness.

	A New Earth: Create A Better Life was first published in 2005 by Penguin. It went on to receive high worldwide acclaim, its popularity scaling further when it was chosen as a recommended title by Oprah Winfrey’s Book Club in 2008. This edition is a 2009 reprint by Penguin Books.

About Eckhart Tolle

	Eckhart Tolle is a German-Canadian author and public speaker.

	He has written books such as Guardians Of Being, A New Earth: Awakening To Your Life’s Purpose, The Power Of Now: A Guide To Spiritual Enlightenment, Oneness With All Life: Inspirational Selections from A New Earth, and Stillness Speaks: Whispers of Now.

	Distinctly permeated by a highly spiritual quality, Tolle’s writing explores psychology, metaphysics, and other realms of the esoteric.

	Tolle was born as Ulrich Leonard Tolle in 1948 in Germany. He had a very turbulent and disturbed childhood. With the consent of his father, he chose to study language, literature, and astronomy at home instead of attending high school. After a brief teaching stint in London, he went on to study literature, psychology, and philosophy at the University of London. After graduation, Tolle joined Cambridge University on a research scholarship. A profound inner transformation at the age of 29 saw him eventually turning into a spiritual teacher and counselor. He spreads his teachings through his company, video website, speeches, and workshops, choosing to steer clear of undue focus on commercial motivation. Given the fact that his work focuses on spirituality, he has supporters and detractors in equal measure. In 2011, Watkins Review listed him at 1st place in the ""100 most spiritually influential person in the world"".
",Philosophy,"Language: English,Binding: Paperback,Publisher: Penguin Books Ltd,ISBN: 9780141039411, 0141039418,","rukminim1.flixcart.com/image/128/128/book/4/1/1/a-new-earth-create-a-better-life-original-imaek9zgzzgpjbzw.jpeg?q=70
rukminim1.flixcart.com/image/128/128/book/4/1/1/new-earth-a-create-a-better-life-original-imaesbbdztshb4g7.jpeg?q=70
rukminim1.flixcart.com/image/128/128/book/4/1/1/a-new-earth-create-a-better-life-original-imaeb7q8dnx9rpxh.jpeg?q=70
","New Earth, A : Create a Better Life(English, Paperback, Eckhart Tolle)"
2,"SATISCHANDRA CHATTERJEE,","
	An Introduction to Indian Philosophy, termed by Srila Prabhupada as 'very authoritative', while introducing the reader to the spirit, vast ocean of knowledge and outlook of Indian philosophy, also helps him to grasp thoroughly the central ideas.  Philosophy, in its widest etymological sense, means 'love of knowledge'. It tries to search for knowledge of himself, the world and God, and describes the Indian way of life as we know it.  Indian philosophy denotes the philosophical speculations of all Indian thinkers, ancient or modern, Hindus or non-Hindus, theists or atheists.  Some believe 'Indian philosophy' to be synonymous with 'Hindu philosophy', however, this would be true only if the word 'Hindu' were taken in the geographical sense of 'Indian'.  But if 'Hindu' means the followers of a particular religious faith known as Hinduism, the supposition would be wrong and misleading.  The authors have, with considerable merit, highlighted the significance of Indian views in terms of modern Western thought.  An Introduction to Indian Philosophy is a seminal work covering topics as varied as the Carvaka, Jain, Vaisesika, Mimamsa, Buddha, Sankhya Systems, amongst others.
",Philosophy,"Language: English,Binding: Paperback,Publisher: RUPA,ISBN: 9788129111951, 8129111950,Edition: 2007,Pages: 404,",https://rukminim1.flixcart.com/image/832/832/book/9/5/1/an-introduction-to-indian-philosophy-original-imaed8efjhsxjgtk.jpeg?q=70,"An Introduction to Indian Philosophy(English, Paperback, SATISCHANDRA CHATTERJEE)"
3,"Wayne W. Dyer,","A book of 81 distinct essays on how to apply the ancient wisdom of the Tao Five hundred years before the birth of Jesus, a God-realized being named Lao-tzu in ancient China dictated 81 verses, which are regarded by many as the ultimate commentary on the nature of our existence. The classic text of these 81 verses, called the Tao Te Ching or the Great Way, offers advice and guidance that is balanced, moral, spiritual, and always concerned with working for the good. In this book, Dr. Wayne W. Dyer has reviewed hundreds of translations of the Tao Te Ching and has written 81 distinct essays on how to apply the ancient wisdom of Lao-tzu to today's modern world. This work contains the entire 81 verses of the Tao, compiled from Wayne's researching of 10 of the most well-respected translations of text that have survived for more than 25 centuries. Each chapter is designed for actually living the Tao or the Great Way today. Some of the chapter titles are ""Living with Flexibility,"" ""Living Without Enemies,"" and ""Living by Letting Go."" Each of the 81 brief chapters focuses on living the Tao and concludes with a section called ""Doing the Tao Now."" Wayne spent one entire year reading, researching, and meditating on Lao-tzu's messages, practicing them each day and ultimately writing down these essays as he felt Lao-tzu wanted you to know them. This is a work to be read slowly, one essay a day. As Wayne says, ""This is a book that will forever change the way you look at your life, and the result will be that you'll live in a new world aligned with nature. Writing this book changed me forever, too. I now live in accord with the natural world and feel the greatest sense of peace I've ever experienced. I'm so proud to present this interpretation of the Tao Te Ching, and offer the same opportunity for change that it has brought me.""About the AuthorWayne W. Dyer,  Ph.D., is an internationally renowned author and speaker in the field of self-development. He's the author of 30 books, has created many audio programs and videos, and has appeared on thousands of television and radio shows. His books Manifest Your Destiny, Wisdom of the Ages, There's a Spiritual Solution to Every Problem, and The New York Times bestsellers 10 Secrets for Success and Inner Peace, The Power of Intention, Inspiration, and Change Your Thoughts—Change Your Life have all been featured as National Public Television specials.  Wayne holds a doctorate in educational counseling from Wayne State University and was an associate professor at St. John's University in New York.  www.DrWayneDyer.com",Philosophy,"Language: English,Binding: Paperback,Publisher: Hay House India,ISBN: 9788189988050, 8189988050,Edition: 1stEdition, 2009,Pages: 416,",https://rukminim1.flixcart.com/image/832/832/book/0/5/0/change-your-thoughts-change-your-life-original-imaeykyks5xyfvfc.jpeg?q=70,"Change Your Thoughts - Change Your Life(English, Paperback, Wayne W. Dyer)"
4,"J Krishnamurti,","
In The First and Last Freedom, J. Krishnamurti, one of the leading spiritual teachers of our century takes a philosophical and psychological approach towards life and provides the reasons to why we are suffering.

Summary of the Book

	In The First and Last Freedom, Krishnamurti writes about detaching ourselves from the symbols and false pretenses of the society to seek pure truth and freedom of the soul. The spiritual leader and philosopher argues that we will not find truth in organized religions and its doctrines, institutions, guru or an outside authority. But truth can only be realized through self-awareness and a deep understanding of oneself. Through intriguing discussions on suffering, love and loneliness, sex, death, and the meaning of life, Krishnamurti highlights the significance of self-understanding.

About Jiddu Krishnamurti

	Jiddu Krishnamurti was a popular writer, speaker, philosopher and a spiritual leader. He spoke on varied subjects including meditation, human relationships, and bringing about positive changes in the society. Some of the other books authored by him include Freedom from the Known, Think on These Things, and The Awakening of Intelligence.
",Philosophy,"Binding: Paperback,Publisher: Ebury Publishing,ISBN: 9781846043758, 1846043751,Edition: 2013,","rukminim1.flixcart.com/image/128/128/book/7/5/8/first-and-last-freedom-the-original-imadq22anpgq8gcu.jpeg?q=70
rukminim1.flixcart.com/image/128/128/book/7/5/8/the-first-and-last-freedom-original-imadxnbfqqpkg26h.jpeg?q=70
","The First and Last Freedom(Paperback, J Krishnamurti)"
5,"Einstein Albert Einstein,","Time's 'Man of the Century', Albert Einstein is the unquestioned founder of modern physics. His theory of relativity is the most important scientific idea of the modern era. In this short book Einstein explains, using the minimum of mathematical terms, the basic ideas and principles of the theory which has shaped the world we live in today. Unsurpassed by any subsequent books on relativity, this remains the most popular and useful exposition of Einstein's immense contribution to human knowledge.",Philosophy,"Language: English,Binding: Paperback,Publisher: Routledge,ISBN: 9780415253840, 0415253845,Edition: 2ndEdition, 2001,Pages: 178,","rukminim1.flixcart.com/image/128/128/book/8/4/0/relativity-original-imaeahe6qzjvxtey.jpeg?q=70
rukminim1.flixcart.com/image/128/128/book/8/4/0/relativity-original-imae6m6wsfjcbjse.jpeg?q=70
rukminim1.flixcart.com/image/128/128/book/8/4/0/relativity-original-imad9yph2mtgphb4.jpeg?q=70
","Relativity 2nd Edition(English, Paperback, Einstein Albert Einstein)"
6,"Sri Sri Ravi Shankar,","A kite needs a string in order to fly through the sky. In a similar way, the Shiva Sutras offers threads to uplift our mind and let it soar to new heights. The Shiva Sutras describes the goal of life as: life radiating the light of inner joy. The Magic of the Shiva sutras is that each sutra is complete, offering us a way to go deeper into our own nature, which is joy. Step by step, with inimitable humor and wisdom, Sri Sri Ravi Shankar takes examples from everyday life to guide readers on this journey of innocence and love. Originally given as a commentary in Kannada, this commentary is now available in English  About The Author His Holiness Sri Sri Ravi Shankar, a spiritual leader and humanitarian, was born in 1958 in southern India. He was often found deep in meditation as a child. At the age of four, he astonished his teachers by reciting the Bhagavad Gita. To Globalise the knowledge of leading a happy, strees-free life, H.H. Sri Sri Ravi Shankar established an international educational and humanitarian NGO- The Art of Living is one of the largest voluntary organizations in the world",Philosophy,"Language: English,Binding: Hardcover,Publisher: Sri Sri Publications Trust,ISBN: 9789380592800, 9380592809,Edition: 2010,Pages: 242,",https://rukminim1.flixcart.com/image/832/832/book/8/0/0/shiva-sutra-english-hardcover-sri-sri-ravi-shankar-original-imaes9hnctc6zsmv.jpeg?q=70,"Shiva Sutra(English, Hardcover, Sri Sri Ravi Shankar)(English, Hardcover, Sri Sri Ravi Shankar)"
7,"Chandradhar Sharma,","
	The present treatise is a critical study of different systems of Indian Philosophy based on original sources and its principal value lies in their interpretation. On almost all fundamental points the author has quoted from the original texts to enable the reader to compare the interpretations with the text. The book opens with the survey of Indian philosophical thought as found in the Vedas, the Upanisads and Bhagavadgita. It proceeds to the study of Materialism, Jainism and Early Buddhism, Sunyavada, Vijnanavada and Svatantra Vijnanavada. It expounds the tenets of the six systems of Indian Philosophy with special reference to Sankara, the pre-Sankara and the post-Sankara Vedanta, and the essentials of Buddhism and Vedanta in comparison and contrast. It discusses the doctrines of Vedanta as interpreted by Ramanuja, Madhva, Nimbarka, Vallabha, Caitanya and Aurobindo. It also contains a clear exposition of Saiva Siddhanta, Kashmir Saivism and Sakta Schools.
",Philosophy,"Language: English,Binding: Paperback,Publisher: Moti Lal Banarasi Dass,ISBN: 9788120803657, 8120803655,Edition: 13th Edition, 2013,Pages: 415,","rukminim1.flixcart.com/image/128/128/book/6/5/7/a-critical-survey-of-indian-philosophy-original-imaeahjfpfybn6je.jpeg?q=70
rukminim1.flixcart.com/image/128/128/book/6/5/7/a-critical-survey-of-indian-philosophy-original-imaeyy4nbagnffjj.jpeg?q=70
","A Critical Survey of Indian Philosophy 13th  Edition(English, Paperback, Chandradhar Sharma)"
8,"Ayn Rand,","
	Atlas Shrugged is set in an unspecified era in a dystopian United States.The book is divided into three parts, each one containing ten chapters. The names of the three parts refer to Aristotle’s laws of logic. The parts are titled Non-contradiction, Either-Or, and A Is A.

	The novel begins with Dagny Taggart, the Operating Vice President of a giant railroad company, struggling to keep the company afloat in tough economic conditions. As the economy worsens, Taggart begins to notice that the best and brightest people of the society keep disappearing mysteriously. As it eventually turns out, they are being led on a organized strike by John Galt, who aims to bring the motorworld to a halt.

	Under the leadership of Galt, the minds responsible for society’s productivity and growth refuse to be exploited any further by rising taxes and government rules. They seek to prove that the world is headed straight for disaster if every individual is enslaved by the government and society. They fight to demonstrate that robbing an individual off of the freedom to create spells doom for civilization.

	As the government strengthens its dictatorial stance, Taggart begins to see the collapse of society around her. The love story of Dagny Taggart and Hank Rearden, a steel magnate, forms a subplot in the book.

	The book is considered to be Ayn Rand’s magnum opus. It was first published in 1957 and highlights her philosophy of Objectivism. The ‘Atlas’ in the title of the book refers to Atlas, a Titan in Greek mythology. The silver screen adaption of the book got continuously stalled for almost 40 years, and was mired in several controversies. It was finally released on April 15, 2011, but met with mainly negative reviews. This particular edition of the book has an introduction by Rand’s student, Leonard Peikoff.

About the Author
Ayn Rand was a Russian-American author, screenwriter, playwright, and philosopher. She developed a philosophical theory called Objectivism.
	Her fictional works include The Fountainhead, Atlas Shrugged, Anthem, The Night Of January 16th, and We The Living. Some of her non-fictional works are The Romantic Manifesto: A Philosophy of Literature, The Virtue Of Selfishness, and Philosophy: Who Needs It.

	Her writing received strong reviews, both good and bad. Rand’s novels garnered polarized opinions mainly because of the extensive philosophical content in them, which promoted capitalism and individual accomplishments over socialism and team successes.

	Ayn Rand or Alisa Zinov’yevna Rosenbaum was born on February 2, 1905, in St. Petersburg, Russia. Her family was forced to flee to Crimea after the rise of the Bolshevik party. She later returned to Petrograd (now St. Petersburg) and majored in history in the Department of Social Pedagogy at the Petrograd State University. After a visit to America to meet her relatives, she became quite intent on making it her home, which she eventually did. She developed and advocated her philosophy called Objectivism through her writing. Rand died of a heart attack on March 6, 1982, at her New York home.
",Philosophy,"Language: English,Binding: Paperback,Publisher: Penguin Publishing Group,ISBN: 9780451191144, 0451191145,",https://rukminim1.flixcart.com/image/832/832/j6zcwi80/book/1/4/4/atlas-shrugged-original-imaexbzxnpzvwvhz.jpeg?q=70,"Atlas Shrugged(English, Paperback, Ayn Rand)"
9,"Sun Tzu,","
The oldest military treatise in the world, The Art of War is a collection of strategies, situational methods and basic war advice that has since been integrated into every sphere of life.

Summary of the Book

	Compared to the West's chess-like approach to war, Asia has always followed an approach more suited to the territorial game of Go. In fact, the game itself is supposed to have evolved from the eastern beliefs which have stemmed from Sun Tzu's masterpiece on war and battle. A legendary advisor to kings, Sun Tzu's only surviving legacy is this book, passed down through generations and containing some of the best known strategies and most sensible advice for all kinds of situations. Know your enemy, says Sun Tzu, and know yourself. Knowing competition builds a chance of success. Knowing one's own strengths and weaknesses guarantees it. The teachings of Sun Tzu have been followed to glorious victory in wars across history and they have been ignored to crippling defeats.

About Sun Tzu

	Sun Tzu was a Chinese military strategist, general and philosopher who most likely lived in the Spring and Autumn period of Chinese history. His actual historical existence is under speculation, several historians believe he might have been more than one person.
",Philosophy,"Language: English,Binding: Paperback,Publisher: Timeless Books,ISBN: 9788189497422, 8189497421,Edition: 2013,Pages: 115,",https://rukminim1.flixcart.com/image/832/832/book/4/2/2/the-art-of-war-original-imadjuhvw7t2krtg.jpeg?q=70,"The Art of War(English, Paperback, Sun Tzu)"
