,Brand,Depth,Height,Model Number,Primary Color,Primary Material,Type,Weight,Width,image_urls
0,Nilkamal,37 mm,122.5 mm,FLFMMWBNBSTBSTBST,Multicolor,Plastic,Cabinet,9.87 kg,59.5 mm,"rukminim1.flixcart.com/image/128/128/cabinet-drawer/p/g/d/flfmmwbnbstbstbst-pp-nilkamal-na-original-imaehgr7jbgnqcuf.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j6pctjk0/cabinet-drawer/p/g/d/pp-flfmmwbnbstbstbst-nilkamal-na-original-imaex4dmmhjh6xtt.jpeg?q=70
rukminim1.flixcart.com/image/128/128/cabinet-drawer/p/g/d/pp-flfmmwbnbstbstbst-nilkamal-na-original-imaera3yutc3b8uy.jpeg?q=70
rukminim1.flixcart.com/image/128/128/cabinet-drawer/p/g/d/flfmmwbnbstbstbst-pp-nilkamal-na-original-imaehgr7c9ssaysz.jpeg?q=70
rukminim1.flixcart.com/image/128/128/cabinet-drawer/p/g/d/flfmmwbnbstbstbst-pp-nilkamal-na-original-imaehgr7wdp3a8u3.jpeg?q=70
rukminim1.flixcart.com/image/128/128/cabinet-drawer/p/g/d/flfmmwbnbstbstbst-pp-nilkamal-na-original-imaehgr75xgaxn5v.jpeg?q=70
rukminim1.flixcart.com/image/128/128/cabinet-drawer/p/g/d/flfmmwbnbstbstbst-pp-nilkamal-na-original-imaehgr7ebqevzyz.jpeg?q=70
"
1,Nilkamal,35.4 mm,145 mm,FLMDR1CPBLBRDTYL,Multicolor,Plastic,Cabinet,13.59 kg,59.5 mm,"rukminim1.flixcart.com/image/128/128/j6pctjk0/cabinet-drawer/v/b/y/pp-flmdr1cpblbrdtyl-nilkamal-na-original-imaex4dmzcg9ydzd.jpeg?q=70
rukminim1.flixcart.com/image/128/128/cabinet-drawer/v/b/y/pp-flmdr1cpblbrdtyl-nilkamal-na-original-imaera2tstwgpz7n.jpeg?q=70
rukminim1.flixcart.com/image/128/128/cabinet-drawer/v/b/y/pp-flmdr1cpblbrdtyl-nilkamal-na-original-imaera2vazvvy7yd.jpeg?q=70
rukminim1.flixcart.com/image/128/128/cabinet-drawer/v/b/y/pp-flmdr1cpblbrdtyl-nilkamal-na-original-imaera2tnyrwquug.jpeg?q=70
rukminim1.flixcart.com/image/128/128/cabinet-drawer/v/b/y/pp-flmdr1cpblbrdtyl-nilkamal-na-original-imaera2tnzn9nxh6.jpeg?q=70
rukminim1.flixcart.com/image/128/128/cabinet-drawer/v/b/y/pp-flmdr1cpblbrdtyl-nilkamal-na-original-imaera2tvaa4wq7m.jpeg?q=70
rukminim1.flixcart.com/image/128/128/cabinet-drawer/v/b/y/pp-flmdr1cpblbrdtyl-nilkamal-na-original-imaera2tcy5ygvkh.jpeg?q=70
rukminim1.flixcart.com/image/128/128/cabinet-drawer/v/b/y/pp-flmdr1cpblbrdtyl-nilkamal-na-original-imaera2u5bq6jahq.jpeg?q=70
"
2,The Attic,40 mm,105 mm,KL-347,Multicolor,Solid Wood,Chest of Drawers,32 kg,90 mm,"rukminim1.flixcart.com/image/128/128/j84so7k0/cabinet-drawer/h/a/z/mango-wood-kl-347-the-attic-dark-walnut-original-imaey85jhuz4zqvy.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j84so7k0/cabinet-drawer/h/a/z/mango-wood-kl-347-the-attic-dark-walnut-original-imaey85j5vfpwvyu.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j84so7k0/cabinet-drawer/h/a/z/mango-wood-kl-347-the-attic-dark-walnut-original-imaey85jb6pvkrh4.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j84so7k0/cabinet-drawer/h/a/z/mango-wood-kl-347-the-attic-dark-walnut-original-imaey85hytgfdzjg.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j84so7k0/cabinet-drawer/h/a/z/mango-wood-kl-347-the-attic-dark-walnut-original-imaey85kkffzu9y4.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j84so7k0/cabinet-drawer/h/a/z/mango-wood-kl-347-the-attic-dark-walnut-original-imaey85h5kqsthe7.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j84so7k0/cabinet-drawer/h/a/z/mango-wood-kl-347-the-attic-dark-walnut-original-imaey85jcfauna4m.jpeg?q=70
"
3,Nilkamal,53 mm,180 mm,FIPWFRDOMPBOM003,Blue,Plastic,Cabinet,20 kg,71 mm,"rukminim1.flixcart.com/image/128/128/cabinet-drawer/j/x/f/fipwfrdompbom003-pp-nilkamal-blue-original-imaebzns4xebgvuk.jpeg?q=70
rukminim1.flixcart.com/image/128/128/cabinet-drawer/j/x/f/fipwfrdompbom003-pp-nilkamal-blue-original-imaebznsxywvyevt.jpeg?q=70
rukminim1.flixcart.com/image/128/128/cabinet-drawer/j/x/f/fipwfrdompbom003-pp-nilkamal-blue-original-imaebznsnwyzbp4z.jpeg?q=70
rukminim1.flixcart.com/image/128/128/cabinet-drawer/j/x/f/fipwfrdompbom003-pp-nilkamal-blue-original-imaebznsgrr7wkyh.jpeg?q=70
"
4,Nilkamal,35 mm,181.5 mm,FLSCFREDMCBBGBGRY,Grey,Plastic,Chest of Drawers,15 kg,59 mm,"rukminim1.flixcart.com/image/128/128/cabinet-drawer/a/z/t/flscfredmcbbgbgry-pp-nilkamal-dark-blue-grey-original-imaearznf2w2kgfp.jpeg?q=70
rukminim1.flixcart.com/image/128/128/cabinet-drawer/a/z/t/flscfredmcbbgbgry-pp-nilkamal-dark-blue-grey-original-imaearznmmzr6j7n.jpeg?q=70
rukminim1.flixcart.com/image/128/128/cabinet-drawer/a/z/t/flscfredmcbbgbgry-pp-nilkamal-dark-blue-grey-original-imaearznfbrnjdns.jpeg?q=70
rukminim1.flixcart.com/image/128/128/cabinet-drawer/a/z/t/flscfredmcbbgbgry-pp-nilkamal-dark-blue-grey-original-imaearznpgkdhyqr.jpeg?q=70
rukminim1.flixcart.com/image/128/128/cabinet-drawer/a/z/t/flscfredmcbbgbgry-pp-nilkamal-dark-blue-grey-original-imaearznqtg23z5n.jpeg?q=70
"
5,Spacewood,470 mm,1918 mm,KOSMO Apex 3 Door Dresser Wardrobe in walnut Rigato,Brown,Engineered Wood,Wardrobe,122 kg,1236 mm,"rukminim1.flixcart.com/image/128/128/j752nww0/wardrobe-closet/u/j/g/particle-board-kosmo-apex-3-door-dresser-wardrobe-in-walnut-original-imaexe2fzfsurgrr.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j752nww0/wardrobe-closet/u/j/g/particle-board-kosmo-apex-3-door-dresser-wardrobe-in-walnut-original-imaexe2dhf4rrbfm.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j752nww0/wardrobe-closet/u/j/g/particle-board-kosmo-apex-3-door-dresser-wardrobe-in-walnut-original-imaexe2eccugt9qn.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j752nww0/wardrobe-closet/u/j/g/particle-board-kosmo-apex-3-door-dresser-wardrobe-in-walnut-original-imaexe2eryvp8zcb.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j752nww0/wardrobe-closet/u/j/g/particle-board-kosmo-apex-3-door-dresser-wardrobe-in-walnut-original-imaexe2fykvvfmgy.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j752nww0/wardrobe-closet/u/j/g/particle-board-kosmo-apex-3-door-dresser-wardrobe-in-walnut-original-imaexe2g5ezqzuwb.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j752nww0/wardrobe-closet/u/j/g/particle-board-kosmo-apex-3-door-dresser-wardrobe-in-walnut-original-imaexe2hwmxhjxvr.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j752nww0/wardrobe-closet/u/j/g/particle-board-kosmo-apex-3-door-dresser-wardrobe-in-walnut-original-imaexe2hhjmcbhuh.jpeg?q=70
"
6,Nilkamal,35 mm,143.5 mm,FLFMDR1BDBLGRYDBL,Multicolor,Plastic,Cabinet,15 kg,59 mm,"rukminim1.flixcart.com/image/128/128/cabinet-drawer/m/4/a/flfmdr1bdblgrydbl-pp-nilkamal-na-original-imaehgr7mqcy2ac4.jpeg?q=70
rukminim1.flixcart.com/image/128/128/cabinet-drawer/m/4/a/flfmdr1bdblgrydbl-pp-nilkamal-na-original-imaehgr7pugxaxak.jpeg?q=70
rukminim1.flixcart.com/image/128/128/cabinet-drawer/m/4/a/flfmdr1bdblgrydbl-pp-nilkamal-na-original-imaehgr7aks98esy.jpeg?q=70
rukminim1.flixcart.com/image/128/128/cabinet-drawer/m/4/a/flfmdr1bdblgrydbl-pp-nilkamal-na-original-imaehgr7sgquj4xy.jpeg?q=70
rukminim1.flixcart.com/image/128/128/cabinet-drawer/m/4/a/flfmdr1bdblgrydbl-pp-nilkamal-na-original-imaehgr7uzkznhgf.jpeg?q=70
rukminim1.flixcart.com/image/128/128/cabinet-drawer/m/4/a/flfmdr1bdblgrydbl-pp-nilkamal-na-original-imaehgr7vmvcxwpj.jpeg?q=70
"
7,Nilkamal,53 mm,95.5 mm,FIPWFRDOMPSOM003,Red,Plastic,Cabinet,10 kg,71 mm,"rukminim1.flixcart.com/image/128/128/cabinet-drawer/d/h/z/fipwfrdompsom003-pp-nilkamal-red-original-imaebznsxjaxsyc8.jpeg?q=70
rukminim1.flixcart.com/image/128/128/cabinet-drawer/d/h/z/fipwfrdompsom003-pp-nilkamal-red-original-imaebznsug6vhtbh.jpeg?q=70
rukminim1.flixcart.com/image/128/128/cabinet-drawer/d/h/z/fipwfrdompsom003-pp-nilkamal-red-original-imaebznsfatzafmt.jpeg?q=70
rukminim1.flixcart.com/image/128/128/cabinet-drawer/d/h/z/fipwfrdompsom003-pp-nilkamal-red-original-imaebznsyynrjaxq.jpeg?q=70
rukminim1.flixcart.com/image/128/128/cabinet-drawer/d/h/z/fipwfrdompsom003-pp-nilkamal-red-original-imaebznsbzhhfqnd.jpeg?q=70
"
8,Nilkamal,53 mm,180 mm,FIPWFRDOMPBOM001,Grey,Plastic,Chest of Drawers,23.87 kg,71 mm,"rukminim1.flixcart.com/image/128/128/cabinet-drawer/j/s/v/fipwfrdompbom001-pp-nilkamal-dare-blue-grey-original-imaearzna95vzyzd.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j76i3rk0/cabinet-drawer/j/s/v/pp-fipwfrdompbom001-nilkamal-dare-blue-grey-original-imaexhpf22yzzbkh.jpeg?q=70
rukminim1.flixcart.com/image/128/128/cabinet-drawer/j/s/v/fipwfrdompbom001-pp-nilkamal-dare-blue-grey-original-imaearzzdarfpyue.jpeg?q=70
rukminim1.flixcart.com/image/128/128/cabinet-drawer/j/s/v/fipwfrdompbom001-pp-nilkamal-dare-blue-grey-original-imaearzzag8uxew5.jpeg?q=70
rukminim1.flixcart.com/image/128/128/cabinet-drawer/j/s/v/fipwfrdompbom001-pp-nilkamal-dare-blue-grey-original-imaearzzwnz8hxct.jpeg?q=70
rukminim1.flixcart.com/image/128/128/cabinet-drawer/j/s/v/fipwfrdompbom001-pp-nilkamal-dare-blue-grey-original-imaearznuhkswbks.jpeg?q=70
"
9,The Attic,40 mm,75 mm,KL-348,Brown,Solid Wood,Chest of Drawers,27 kg,105 mm,"rukminim1.flixcart.com/image/128/128/cabinet-drawer/g/f/2/kl-348-mango-wood-the-attic-dark-walnut-original-imae9xevhjnug57z.jpeg?q=70
rukminim1.flixcart.com/image/128/128/cabinet-drawer/g/f/2/kl-348-mango-wood-the-attic-dark-walnut-original-imae9xevc98gzczp.jpeg?q=70
rukminim1.flixcart.com/image/128/128/cabinet-drawer/g/f/2/kl-348-mango-wood-the-attic-dark-walnut-original-imae9xevfcv8c6wf.jpeg?q=70
rukminim1.flixcart.com/image/128/128/cabinet-drawer/g/f/2/kl-348-mango-wood-the-attic-dark-walnut-original-imae9xevtchz8zhs.jpeg?q=70
rukminim1.flixcart.com/image/128/128/cabinet-drawer/g/f/2/kl-348-mango-wood-the-attic-dark-walnut-original-imae9xevg5at42xs.jpeg?q=70
"
