index,HDD Capacity,Model Name,Model Number,Operating System,Processor Brand,Processor Generation,Processor Name,RAM,Screen Size,image_urls
0,1 TB,IP 320,IP 320,Windows 10 Home,Intel,7th Gen,Core i5,8 GB,15.6 inch,"rukminim1.flixcart.com/image/128/128/j5vcknk0-1/computer/g/f/t/lenovo-na-notebook-original-imaewhf67yykthaq.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j5vcknk0-1/computer/g/f/t/lenovo-na-notebook-original-imaewhf67yykthaq.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j5vcknk0/computer/a/w/k/lenovo-na-notebook-original-imaewgn8bhqvr3qs.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j6qs9e80/computer/a/f/k/lenovo-na-laptop-original-imaex4wzrhhymgpy.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j5vcknk0-1/computer/g/f/t/lenovo-na-notebook-original-imaewhf6sgfhuzfr.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j5vcknk0-1/computer/a/w/k/lenovo-na-notebook-original-imaewhf6nqhcafss.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j5vcknk0-1/computer/a/w/k/lenovo-na-notebook-original-imaewhf68bfwcemn.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j5vcknk0-1/computer/a/w/k/lenovo-na-notebook-original-imaewhf6vfpdbpy9.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j5vcknk0-1/computer/a/w/k/lenovo-na-notebook-original-imaewhf6pmxdspjy.jpeg?q=70
"
1,1 TB,Inspiron 3467,3467,Windows 10 Home,Intel,6th Gen,Core i3,4 GB,14 inch,"rukminim1.flixcart.com/image/128/128/j2hw58w0/computer/n/p/g/dell-inspiron-3467-notebook-original-imaetu5cfhy3fg5r.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j2hw58w0/computer/n/p/g/dell-inspiron-3467-notebook-original-imaetu5cfhy3fg5r.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j2hw58w0/computer/g/z/c/dell-inspiron-3467-notebook-original-imaetu5c2fnugdmn.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j2hw58w0/computer/n/p/g/dell-inspiron-3467-notebook-original-imaetu5cdxtyzs6z.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j2hw58w0/computer/g/z/c/dell-inspiron-3467-notebook-original-imaetu5cfnzkbyur.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j2hw58w0/computer/g/z/c/dell-inspiron-3467-notebook-original-imaetu5cyb6pffgn.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j2hw58w0/computer/g/z/c/dell-inspiron-3467-notebook-original-imaetu5dhvpaga7m.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j2hw58w0/computer/g/z/c/dell-inspiron-3467-notebook-original-imaetu5djuhw2cct.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j2hw58w0/computer/g/z/c/dell-inspiron-3467-notebook-original-imaetu5chhe3dbzu.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j2hw58w0/computer/g/z/c/dell-inspiron-3467-notebook-original-imaetu5pfjzfpafa.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j2hw58w0/computer/g/z/c/dell-inspiron-3467-notebook-original-imaetu5c6fgesyyn.jpeg?q=70
"
2,1 TB,Inspiron,5559,Linux,Intel,6th Gen,Core i3,4 GB,15.6 inch,"rukminim1.flixcart.com/image/128/128/j3bwe4w0/computer/r/a/g/dell-inspiron-notebook-original-imaeuhf9qchqz55v.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j3bwe4w0/computer/r/a/g/dell-inspiron-notebook-original-imaeuhf9dyzywdud.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j3bwe4w0/computer/r/a/g/dell-inspiron-notebook-original-imaeuhfauqznedeg.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j3bwe4w0/computer/r/a/g/dell-inspiron-notebook-original-imaeuhfamrxuh7ze.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j3bwe4w0/computer/r/a/g/dell-inspiron-notebook-original-imaeuhf9rye5x2fy.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j3bwe4w0/computer/r/a/g/dell-inspiron-notebook-original-imaeuhf9ntzgghzz.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j3bwe4w0/computer/r/a/g/dell-inspiron-notebook-original-imaeuhf9zzhsyrzj.jpeg?q=70
"
3,500 GB,Aspire,ES1-572-33M8,Linux,Intel,6th Gen,Core i3,4 GB,15.6 inch,"rukminim1.flixcart.com/image/128/128/j2p1ci80/computer/c/6/7/acer-es-15-notebook-original-imaer2fqgufg9vna.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j2p1ci80/computer/c/6/7/acer-es-15-notebook-original-imaer2fqzhngdzc3.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j0sg7m80/computer/c/s/r/acer-notebook-original-imaer39ug2jx7bfw.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j2p1ci80/computer/c/6/7/acer-es-15-notebook-original-imaer3a7yf6xzudt.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j2p1ci80/computer/c/6/7/acer-es-15-notebook-original-imaer2fqqtpvmhhz.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j2p1ci80/computer/c/6/7/acer-es-15-notebook-original-imaer3a6ayzzq3mq.jpeg?q=70
"
4,1 TB,Inspiron 3467,3467,Linux,Intel,6th Gen,Core i3,4 GB,14 inch,"rukminim1.flixcart.com/image/128/128/j2hw58w0/computer/g/z/c/dell-inspiron-3467-notebook-original-imaetugdqjnq5kh7.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j2hw58w0/computer/g/z/c/dell-inspiron-3467-notebook-original-imaetugdqjnq5kh7.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j6qs9e80/computer/g/z/c/dell-inspiron-3467-laptop-original-imaex4w6egymn89s.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j2hw58w0/computer/g/z/c/dell-inspiron-3467-notebook-original-imaetu5c2fnugdmn.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j2hw58w0/computer/g/z/c/dell-inspiron-3467-notebook-original-imaetu5cfnzkbyur.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j2hw58w0/computer/g/z/c/dell-inspiron-3467-notebook-original-imaetu5cyb6pffgn.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j2hw58w0/computer/g/z/c/dell-inspiron-3467-notebook-original-imaetu5djuhw2cct.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j2hw58w0/computer/g/z/c/dell-inspiron-3467-notebook-original-imaetu5chhe3dbzu.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j2hw58w0/computer/g/z/c/dell-inspiron-3467-notebook-original-imaetu5pfjzfpafa.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j2hw58w0/computer/g/z/c/dell-inspiron-3467-notebook-original-imaetu5dhvpaga7m.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j2hw58w0/computer/g/z/c/dell-inspiron-3467-notebook-original-imaetu5c6fgesyyn.jpeg?q=70
"
5,1 TB,IP 320,IP 320E,Windows 10 Home,Intel,6th Gen,Core i3,4 GB,15.6 inch,"rukminim1.flixcart.com/image/128/128/j62hrww0/computer/h/r/f/lenovo-notebook-original-imaewmd9wj44gggn.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j62hrww0/computer/h/r/f/lenovo-notebook-original-imaewmd9wj44gggn.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7hxmkw0/computer/h/r/f/lenovo-ip-320e-laptop-original-imaexq7pfsfzqwu5.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j62hrww0/computer/h/r/f/lenovo-notebook-original-imaewmd9tybdzzty.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j62hrww0/computer/h/r/f/lenovo-notebook-original-imaewmd9dzmrefte.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j62hrww0/computer/b/b/r/lenovo-notebook-original-imaewmd98rxxqd8s.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j62hrww0/computer/b/b/r/lenovo-notebook-original-imaewmdafbesnfzb.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j62hrww0/computer/b/b/r/lenovo-notebook-original-imaewmd9sypyzhgv.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j62hrww0/computer/b/b/r/lenovo-notebook-original-imaewmd9ubrwcrfg.jpeg?q=70
"
6,1 TB,IP 320,IP 320E,DOS,AMD,7th Gen,APU Dual Core A9,4 GB,15.6 inch,"rukminim1.flixcart.com/image/128/128/j62hrww0/computer/b/b/r/lenovo-notebook-original-imaewmda7a2zuzca.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j62hrww0/computer/b/b/r/lenovo-notebook-original-imaewmdat9f9zjbb.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j62hrww0/computer/b/b/r/lenovo-notebook-original-imaewmdayz7mhp8t.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j62hrww0/computer/b/b/r/lenovo-notebook-original-imaewmd98rxxqd8s.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7hxmkw0/computer/z/h/v/lenovo-ip-320e-laptop-original-imaexnup8wgyphgy.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j62hrww0/computer/b/b/r/lenovo-notebook-original-imaewmd9ubrwcrfg.jpeg?q=70
"
7,1 TB,IP 320,IP 320E,DOS,AMD,7th Gen,APU Dual Core E2,4 GB,15.6 inch,"rukminim1.flixcart.com/image/128/128/j62hrww0/computer/b/b/r/lenovo-notebook-original-imaewmda7a2zuzca.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j62hrww0/computer/b/b/r/lenovo-notebook-original-imaewmdat9f9zjbb.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j62hrww0/computer/b/b/r/lenovo-notebook-original-imaewmdayz7mhp8t.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7hxmkw0/computer/z/h/v/lenovo-ip-320e-laptop-original-imaexnup8wgyphgy.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j62hrww0/computer/b/b/r/lenovo-notebook-original-imaewmd98rxxqd8s.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j62hrww0/computer/b/b/r/lenovo-notebook-original-imaewmd9ubrwcrfg.jpeg?q=70
"
8,1 TB,Aspire,E5 - 575,Linux,Intel,7th Gen,Core i5,8 GB,15.6 inch,"rukminim1.flixcart.com/image/128/128/j8osu4w0-1/computer/2/3/r/acer-aspire-laptop-original-imaeynw6hhvvg2ph.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j8t35ow0/computer/2/3/r/acer-aspire-laptop-original-imaeynw6wyseb4ub.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j8osu4w0-1/computer/2/3/r/acer-aspire-laptop-original-imaeynw6djuagwme.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7f2qvk0/computer/z/h/c/acer-na-laptop-original-imaetwaahchgydht.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7f2qvk0/computer/z/h/c/acer-na-laptop-original-imaev4wxyycqznfk.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7usl8w0/computer/z/h/c/acer-na-laptop-original-imaexwvp9yp5hchy.jpeg?q=70
"
9,1 TB,Inspiron,7460,Windows 10 Home,Intel,7th Gen,Core i5,8 GB,14 inch,"rukminim1.flixcart.com/image/128/128/j2hw58w0/computer/t/q/t/dell-inspiron-notebook-original-imaetu5bmzqkfs5c.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j2hw58w0/computer/a/5/x/dell-inspiron-notebook-original-imaetu5bfnnzmwtx.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j6nxdow0/computer/a/5/x/dell-inspiron-laptop-original-imaex2pwtkzksejf.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j2hw58w0/computer/a/5/x/dell-inspiron-notebook-original-imaetu5c29ychr4j.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j2hw58w0/computer/a/5/x/dell-inspiron-notebook-original-imaetu5cr9tknpgb.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j2hw58w0/computer/a/5/x/dell-inspiron-notebook-original-imaetu5cgpnfdzvv.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j2hw58w0/computer/a/5/x/dell-inspiron-notebook-original-imaetu5bgsnnwpxn.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j2hw58w0/computer/a/5/x/dell-inspiron-notebook-original-imaetu5cemvngyx7.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j2hw58w0/computer/a/5/x/dell-inspiron-notebook-original-imaetu5cus9amjaq.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j2hw58w0/computer/a/5/x/dell-inspiron-notebook-original-imaetu5ceytnbqbp.jpeg?q=70
"
