Index,Display_Size,Internal_Storage,Model_Name,Model_Number,Primary_Camera,Processor_Type,RAM,Secondary_Camera,Weight,image_urls
0,5.5 inch,64 GB,Redmi Note 4,MZB5252IN / MZB5279IN / MZB5543IN,13MP,Qualcomm Snapdragon 625 64-bit Octa Core 2GHz,itional Content4GB RAM,5MP,165 g,"rukminim1.flixcart.com/image/128/128/mobile/y/u/a/mi-redmi-note-4-na-original-imaeqdxgrdhxgkcx.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/y/u/a/mi-redmi-note-4-na-original-imaeqdxgrdhxgkcx.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/h/g/z/mi-redmi-note-4-mzb5298in-original-imaery4rn5pwdmxn.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/y/u/a/mi-redmi-note-4-na-original-imaeqdxhsxb3uvty.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/h/g/z/mi-redmi-note-4-na-original-imaeqdxzsw54nyuf.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/r/u/9/mi-redmi-note-4-na-original-imaeqdxgu8dbew2z.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/y/u/a/mi-redmi-note-4-na-original-imaeqdxcax7vpuve.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/y/u/a/mi-redmi-note-4-na-original-imaeqdxmzr5mm3my.jpeg?q=70
"
1,6 inch,64 GB,F3 Plus,CPH1613,16MP,Qualcomm MSM8976 Pro Snapdragon 653,4 GB,16MP + 8MP,185 g,"rukminim1.flixcart.com/image/128/128/mobile/9/q/x/oppo-f3-plus-cph1613-original-imaes9gczhk4zjyz.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/9/q/x/oppo-f3-plus-cph1613-original-imaes9gcgkxbfhhp.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/9/q/x/oppo-f3-plus-cph1613-original-imaes9gcygamrsnr.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/9/q/x/oppo-f3-plus-cph1613-original-imaes9gcdzecnhbj.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/9/q/x/oppo-f3-plus-cph1613-original-imaes9gcutuvcgbn.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/9/q/x/oppo-f3-plus-cph1613-original-imaes9gcyh67hgrv.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/9/q/x/oppo-f3-plus-cph1613-original-imaes9gcqbgjfurw.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/9/q/x/oppo-f3-plus-cph1613-original-imaes9gca4pbzwb8.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/9/q/x/oppo-f3-plus-cph1613-original-imaes9gchpaw9uwg.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/9/q/x/oppo-f3-plus-cph1613-original-imaes9gceqvqdcbv.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/9/q/x/oppo-f3-plus-cph1613-original-imaes9gcqywgcuek.jpeg?q=70
"
2,5.2 inch,32 GB,Me3S,iV 501,13MP,MediaTek 6737 64-bit 1.3GHz,3 GB,8MP, ,"rukminim1.flixcart.com/image/128/128/j7f2qvk0/mobile/g/h/x/ivoomi-me3-iv-501-original-imaexhbkg4ega5hn.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7f2qvk0/mobile/g/h/x/ivoomi-me3-iv-501-original-imaexhbkg4ega5hn.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7f2qvk0/mobile/g/h/x/ivoomi-me3-iv-501-original-imaexhbkggm3pteh.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7f2qvk0/mobile/g/h/x/ivoomi-me3-iv-501-original-imaexhbkwavyhsfd.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7f2qvk0/mobile/g/h/x/ivoomi-me3-iv-501-original-imaexhbkzwausgtm.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7f2qvk0/mobile/g/h/x/ivoomi-me3-iv-501-original-imaexhbkuk5vseax.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7f2qvk0/mobile/g/h/x/ivoomi-me3-iv-501-original-imaexhbkaksj4h88.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7f2qvk0/mobile/g/h/x/ivoomi-me3-iv-501-original-imaexhbkksyhqfjp.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7f2qvk0/mobile/g/h/x/ivoomi-me3-iv-501-original-imaexhbkjhfr48yt.jpeg?q=70
"
3,5.5 inch,64 GB,Redmi Note 4,MZB5254IN / MZB5545IN,13MP,Qualcomm Snapdragon 625 64-bit Octa Core 2GHz,itional Content4GB RAM,5MP,165 g,"rukminim1.flixcart.com/image/128/128/mobile/f/d/5/mi-redmi-note-4-na-original-imaeqdxqcrfshtqu.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/f/d/5/mi-redmi-note-4-na-original-imaeqdxqcrfshtqu.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/f/d/5/mi-redmi-note-4-na-original-imaeqdxgtcgbgvfh.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/g/t/d/mi-redmi-note-4-na-original-imaeqdxd3mv2zpwt.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/g/t/d/mi-redmi-note-4-na-original-imaeqdxgx3z8fhdr.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/f/d/5/mi-redmi-note-4-na-original-imaeqdxhqks7qrnw.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/g/t/d/mi-redmi-note-4-na-original-imaeqdxhgnerzpeg.jpeg?q=70
"
4,5.2 inch,32 GB,K8 Plus,PA8C0020IN/PA8C0003IN,13MP + 5MP,MediaTek MTK Helio P25 Octa Core 2.5 GHz,3 GB,8MP, ,"rukminim1.flixcart.com/image/128/128/j7gi6q80/mobile/p/t/d/lenovo-k8-plus-pa8c0003in-original-imaexp2rupxj9w5f.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7gi6q80/mobile/p/t/d/lenovo-k8-plus-pa8c0003in-original-imaexp2rzf3ctv5z.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7gi6q80/mobile/p/t/d/lenovo-k8-plus-pa8c0003in-original-imaexp2rzxzszmxk.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7gi6q80/mobile/p/t/d/lenovo-k8-plus-pa8c0003in-original-imaexp2rvbhh3d4j.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7gi6q80/mobile/p/t/d/lenovo-k8-plus-pa8c0003in-original-imaexp2rpkyyqrmy.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7gi6q80/mobile/p/t/d/lenovo-k8-plus-pa8c0003in-original-imaexp2rm6grrvej.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7gi6q80/mobile/p/t/d/lenovo-k8-plus-pa8c0003in-original-imaexp2r2qwmnmqn.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7gi6q80/mobile/p/t/d/lenovo-k8-plus-pa8c0003in-original-imaexp2rh88uyhvh.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7gi6q80/mobile/p/t/d/lenovo-k8-plus-pa8c0003in-original-imaexp2rjtfsf73r.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7gi6q80/mobile/p/t/d/lenovo-k8-plus-pa8c0003in-original-imaexp2rg8rdxzpm.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7gi6q80/mobile/p/t/d/lenovo-k8-plus-pa8c0003in-original-imaexp2r8jaua2f6.jpeg?q=70
"
5,5.9 inch,64 GB,9i,RNE-L22,16MP + 2MP,Huawei Kirin 659 Octa Core Clocked up to 2.36 GHz,4 GB,13MP + 2MP,164 g,"rukminim1.flixcart.com/image/128/128/j8rnpu80/mobile/k/5/3/honor-9i-rne-l22-original-imaeyhqcgbhzdfvu.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j8lxyfk0/mobile/k/5/3/honor-9i-rne-l22-original-imaeyhqc2drusgpq.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j8rnpu80/mobile/k/5/3/honor-9i-rne-l22-original-imaeyhqcamjs57br.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j8rnpu80/mobile/k/5/3/honor-9i-rne-l22-original-imaeyhqct2rzjvg2.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j8lxyfk0/mobile/k/5/3/honor-9i-rne-l22-original-imaeyhqcssgvgeve.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j8lxyfk0/mobile/k/5/3/honor-9i-rne-l22-original-imaeyhqcvrtnk7pg.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j8lxyfk0/mobile/k/5/3/honor-9i-rne-l22-original-imaeyhqczz29g7xj.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j8lxyfk0/mobile/k/5/3/honor-9i-rne-l22-original-imaeyhqcjzmwzdqt.jpeg?q=70
"
6,5.5 inch,64 GB,Mi A1,MZB5645IN/MZB5717IN,12MP + 12MP,Qualcomm Snapdragon 625 64 bit Octa Core 2GHz,4 GB,5MP,165 g,"rukminim1.flixcart.com/image/128/128/j752nww0/mobile/h/e/t/mi-mi-a1-na-original-imaexg9njdddfphr.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j752nww0/mobile/h/e/t/mi-mi-a1-na-original-imaexg9njdddfphr.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j752nww0/mobile/h/e/t/mi-mi-a1-na-original-imaexg9zkqbgzbk4.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j752nww0/mobile/h/e/t/mi-mi-a1-na-original-imaexg9zhehx8yfm.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j752nww0/mobile/h/e/t/mi-mi-a1-na-original-imaexg9zndvygh8y.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j752nww0/mobile/h/e/t/mi-mi-a1-na-original-imaexg9zgxrxekgp.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j752nww0/mobile/h/e/t/mi-mi-a1-na-original-imaexcvyzg9yjubn.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j752nww0/mobile/h/e/t/mi-mi-a1-na-original-imaexg9ppespasmh.jpeg?q=70
"
7,5.5 inch,64 GB,Redmi Note 4,MZB5280IN/MZB5253IN/MZB5544IN,13MP,Qualcomm Snapdragon 625 64-bit Octa Core 2GHz,itional Content4GB RAM,5MP,165 g,"rukminim1.flixcart.com/image/128/128/mobile/9/8/z/mi-redmi-note-4-na-original-imaeqdxjuadhagfc.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/9/8/z/mi-redmi-note-4-na-original-imaeqdxjuadhagfc.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/9/8/z/mi-redmi-note-4-na-original-imaeqdxnmcfcqyq9.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/j/g/h/mi-redmi-note-4-na-original-imaeqdxknsfydkdh.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/j/g/h/mi-redmi-note-4-original-imaeqdxgchmppaxh.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/j/g/h/mi-redmi-note-4-na-original-imaeqdxh864eewmj.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/j/g/h/mi-redmi-note-4-na-original-imaeqdxjzqhnwsge.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/9/8/z/mi-redmi-note-4-na-original-imaeqdxkgwnzrdax.jpeg?q=70
"
8,5 inch,8 GB,Galaxy On5,SM-G550FZKDINS/SM-G550FZDDINS,8MP,Exynos 3475 Quad Core 1.3GHz,1.5 GB,5MP,149 g,"rukminim1.flixcart.com/image/128/128/mobile/r/3/q/samsung-galaxy-on7-sm-g600f-original-imaecqkgzeuz9ebn.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/3/k/a/samsung-galaxy-on5-sm-g550fzddins-original-imaecjy9jkpzuxvn.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/3/k/a/samsung-galaxy-on5-sm-g550fzddins-original-imaecjy9gazuhfkv.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/3/k/a/samsung-galaxy-on5-sm-g550fzddins-original-imaecjy9bxtexfhz.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/3/k/a/samsung-galaxy-on5-sm-g550fzddins-original-imaecjy92yrm4mfr.jpeg?q=70
"
9,5.2 inch,32 GB,K8 Plus,PA8C0019IN/PA8C0023IN,13MP + 5MP,MediaTek MTK Helio P25 Octa Core 2.5 GHz,3 GB,8MP, ,"rukminim1.flixcart.com/image/128/128/j81xsi80/mobile/v/p/g/lenovo-k8-plus-pa8c0019in-pa8c0023in-original-imaey5hzkryjswmu.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7gi6q80/mobile/v/p/g/lenovo-k8-plus-pa8c0019in-original-imaexp2rtqdyqgw5.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7gi6q80/mobile/v/p/g/lenovo-k8-plus-pa8c0019in-original-imaexp2rybgznnwy.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7gi6q80/mobile/v/p/g/lenovo-k8-plus-pa8c0019in-original-imaexp2rwzjgtx8r.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7gi6q80/mobile/v/p/g/lenovo-k8-plus-pa8c0019in-original-imaexp2rrdfp4p45.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7gi6q80/mobile/v/p/g/lenovo-k8-plus-pa8c0019in-original-imaexp2revcnehxe.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7gi6q80/mobile/v/p/g/lenovo-k8-plus-pa8c0019in-original-imaexp2refbzq6yq.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7gi6q80/mobile/v/p/g/lenovo-k8-plus-pa8c0019in-original-imaexp2rgueedzbk.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7gi6q80/mobile/v/p/g/lenovo-k8-plus-pa8c0019in-original-imaexp2rtajmud3g.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7gi6q80/mobile/v/p/g/lenovo-k8-plus-pa8c0019in-original-imaexp2rjdwr8gyz.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7gi6q80/mobile/v/p/g/lenovo-k8-plus-pa8c0019in-original-imaexp2rerpxuhgv.jpeg?q=70
"
